,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
248,Maruti,Suzuki,Second,"32,530",CNG,2021,Grey,5,32.52,5.74,5.85
249,Maruti,Suzuki,"{{cityName}},",{{transmission}},|,"47,072",{{color}},5,20.5,4.76,4.37
250,Maruti,Suzuki,First,"37,333",Petrol,2017,White,5,20.5,4.57,4.44
251,Maruti,Suzuki,First,"54,674",CNG,2012,Others,5,Manual,2.79,2.8
252,Ford,EcoSport,Second,"54,120",Diesel,2017,Others,5,23,5.99,7.09
253,Hyundai,i20,First,"13,616",Petrol,2014,Others,5,18.15,4.97,4.57
254,Maruti,Suzuki,Second,"84,784",Diesel,2015,Others,5,23.65,5.59,6.41
255,Maruti,Suzuki,First,"41,000",Petrol,2017,Blue,5,21.4,5.91,6.89
256,Hyundai,Elite,First,"20,285",Petrol,2017,Red,5,18.6,5.91,6.01
257,Tata,Nexon,First,"20,000",Electric,2021,Green,5,127,15.25,15.63
258,Mercedes-Benz,GLA,Second,"32,869",Diesel,2018,White,5,FWD,25,27.45
259,Maruti,Suzuki,First,"49,000",Petrol,2016,Red,5,21.4,5.45,5.76
260,Volkswagen,Passat,First,"42,799",Diesel,2018,Grey,5,17.42,21.5,26.34
261,Mercedes-Benz,C-Class,Second,"61,475",Petrol,2015,Black,5,14.74,22.75,21.06
262,Honda,City,Second,"63,000",Petrol,2014,White,5,FWD,4.75,5.36
263,Maruti,Suzuki,First,"11,736",Petrol,2018,Blue,5,22,6.35,6.52
264,Honda,Jazz,First,"17,847",Petrol,2019,White,5,18.7,6.8,7.75
265,Maruti,Suzuki,First,"10,519",Petrol,2021,Brown,5,20.52,6.8,7.75
266,BMW,X1,First,"4,902",Diesel,2022,Black,5,RWD,43.5,37.9
267,Mercedes-Benz,E-Class,Second,"29,675",Petrol,2011,White,5,12.06,11.25,13.78
268,Audi,Q2,First,"20,000",Petrol,2020,White,5,188,29.25,35.38
269,Hyundai,Verna,First,"9,434",Petrol,2019,Silver,5,FWD,10.37,10.58
270,Honda,City,"{{cityName}},",{{transmission}},|,"90,860",{{color}},5,FWD,6.88,7.29
271,Honda,CR-V,"{{cityName}},",{{transmission}},|,"62,577",{{color}},5,13.69999981,8.67,10.84
272,Maruti,Suzuki,First,"49,870",CNG,2020,White,5,30.47,5.6,5.8
273,Maruti,Suzuki,"{{cityName}},",{{transmission}},|,"23,329",{{color}},4,78,5.74,5.85
274,Maruti,Suzuki,Second,"32,530",CNG,2021,Grey,5,32.52,5.74,5.85
275,Tata,Altroz,First,"7,956",Petrol,2020,Grey,5,19.05,7.48,6.01
